Product,Consumer complaint narrative
"Credit reporting, repair, or other","Account # XXXX Auto Loan taken ut by XXXX XXXX XXXX Not XXXX XXXX, Should not show on my personal Account, Its paid by XXXX XXXX XXXX and not XXXX XXXX and the information is not correct and adversly affecting me"
Mortgage,"This complaint is about XXXX XXXX XXXX ( ( NMLS # XXXX ) ) with Allied Mortgage Group XXXX XXXX licensed in both NJ & PA. I'm submitting a complaint over his blatant racism that he feels very comfortable posting about on social media. I did not apply for a loan through him directly, but the form to submit this complaint didn't have another option to select for this violation. 

His rhetoric that he posts raises serious fair-lending and fair-housing concerns. Please see the attached screenshots. 

Because Allied Mortgage Group operates in a highly regulated industry, public statements that express hostility toward protected classes create a reasonable concern that prospective borrowers could be discouraged or treated unfairly, in conflict with obligations under the Equal Credit Opportunity Act ( ECOA/Reg B ) and the Fair Housing Act ( including prohibitions on discrimination and discouragement ). 

Thank you"
"Credit reporting, repair, or other","I submitted a letter to the Experian XX/XX/2022 to update this suspicious information. I think you have not validated this account in accordance with Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ), and I will pursue legal action against them. This was already included in my prior COMPLAINT # XXXX, and I'm including it again. 

XXXX XXXXXXXX XXXX Balance : {$140.00}"
Debt collection,"I am disputing a debt listed by Jefferson Capital Systems for {$1700.00}, which appeared on my credit report in XX/XX/year>. I submitted a formal request for validation and verification under the Fair Credit Reporting Act ( FCRA ) and Fair Debt Collection Practices Act ( FDCPA ). They have failed to provide proof of the original debt, including an itemized statement or original signed agreement. 

I never received proper notice of my right to dispute this debt, nor did I receive sufficient information to verify that I owe this amount. Ive made multiple efforts to resolve the matter, and the company has not provided adequate documentation to support their claim. This debt is negatively impacting my credit and should not be reported without proper validation."
Mortgage,"I continue to receive erroneous Statements regarding payments made, fees and charges being applied by the company. I have submitted a complete list of monthly payments made and questions regarding their lack of response and delivery of necessary information to determine their errors in servicing my account."
Debt collection,"THIS WAS A RESULT OF IDENTITY THEFT, THIS ACCOUNT IS NOT MINES."
Debt collection,"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed."
Debt collection,At the time of the debt someone use my identity to get a credit card. I was in a treatment center at the time of all of this going on. Also can someone show me proof that I made all of these purchases like don't you have to sign off on something can I get proof of that. The addresses you have on file are not my addresses I never stayed at XXXX XXXX XXXX I just talked to the manager today and she confirmed it. Just trying to get this that resolved cuz I'm going to Debt paying you guys and I can't afford it. Can we try to work some out at least or come with a solution?
Debt collection,"a electronic signature is not validating proof of claim, and sated before, there is no proof stating that I owe NATIONAL CREDIT SYSTEMS at all, a guy name XXXX called aggresive, over the phone and called before XXXX central time, that's harrasement please show proof or a contract stating or bearing my signature that I owe them ( national credit systems ) How can a third party collection agency not know what state I live in at all."
"Credit reporting, repair, or other",I am writing to delete the following information in my file. The items I need to delete are listed in the report. I am a victim of Identity theft and I did not make the charge. I asked that the items be deleted to correct my credit report. I reported the theft of my Identity to the Federal Trade Commission and I also have enclosed copies of the Federal Trade commissions Identity Theft affidavit. Please delete the items as soon as possible.
"Credit reporting, repair, or other","It has been a battle going through all this and I am submitting this CFPB Complaint to dispute the fraudulent items listed on my credit report. I recently received a copy of my credit report and was shocked to find that there are several items that I did not open and have no knowledge of. The items in question are as follows : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX. I can assure you that I did not open these accounts or authorize anyone else to do so on my behalf. It is clear that this is a case of identity theft and I am taking steps to report this to the authorities. I am requesting that you investigate these fraudulent accounts and remove them from my credit report as soon as possible. I understand that the Fair Credit Reporting Act requires you to conduct a reasonable investigation into any disputes, and I am confident that you will find that these accounts are fraudulent and should not be listed on my credit report."
"Credit reporting, repair, or other","I secured this credit card as a means of building my credit. My Social Security number was changed due to XXXX XXXX, and as such- my credit history was deleted. I set this account up on Auto pay from my checking account and consistently made my monthly payments on time, well above the min. due amount. 

In XX/XX/2018, I contacted XXXX XXXX & inquired about my balance, and then made the payment in full online. I subsequently contacted by bank, XXXX XXXX XXXX and requested they put a stop payment on the XXXX XXXX auto payment for the month of XXXX, since I instead paid in full online. In error and unknown to me, XXXX XXXX XXXX put a permanent stop pay on all future XXXX XXXX payments. Nobody ever contacted me from XXXX XXXX to alert me of any payment issue 's. 

In XX/XX/2018, I again contacted XXXX XXXX for my balance & again made the payment in full online. Once again, XXXX XXXX did NOT alert me to the XXXX XXXX XXXX stop payment issue, and allowed me to believe my account was in good standing as it always was. I went online and paid that amount in full, and believed my account to be in good standing. At which time, my credit score was XXXX. 

I come to find out in XX/XX/XXXX, after being denied a car loan- that XXXX XXXX had been reporting my payments as 120 days in default! In fact, the bank that denied my loan was XXXX XXXX XXXX! I immediately contacted XXXX XXXX and inquired why my payments were being reported as in default. It was at this time that XXXX XXXX stated they had not received a payment since XX/XX/XXXX, and all monthly payments since that time had been stopped by XXXX XXXX XXXX, and XXXX XXXX had closed my account. Consequentially, my credit score was now XXXX!!!!! I spoke with multiple representatives and three different supervisors at XXXX XXXX to discuss and correct this issue. Each time, I was told a different story, and each time was told the issue was with my bank- XXXX XXXX XXXX . It took dozens of phone calls to XXXX XXXX to find out exactly what happened with my payments, and what I needed to do in order for XXXX XXXX to re-open my account, and correct the default payments which would then ( hopefully ) fix my credit score. XXXX XXXX stated they needed a letter from my bank on their letterhead, stating it was their ( XXXX ) error. This letter was sent to XXXX XXXX on XX/XX/18. 

Since this time, I have contacted XXXX XXXX weekly. Each time, I have been told they DID NOT receive the letter! XXXX XXXX has continued to report my payments as derogatory, which has continued to destroy my credit. On XX/XX/2018, I spoke to another XXXX XXXX supervisor whom informed me they DID receive the letter from XXXX XXXX XXXX and have everything they need in order to re-open my account and update my payment history. I was told I would receive a letter confirming this had been done within 7 business days. Today, I received a letter from XXXX XXXX dated XX/XX/2018- stating they want ANOTHER letter from XXXX XXXX XXXX . XXXX XXXX has REFUSED to correct this error. They are still reporting to all three credit agencies that I have been 120 days in default since XX/XX/2018. They have DESTROYED my credit! 

I have been denied an auto loan, as well as a residential lease due to their refusal to fix a mistake, that was not my doing!"
Mortgage,"My mortgage, serviced by NewRez ( and previously XXXX XXXX XXXX XXXX refuses to acknowledge receipt of and properly apply my BPO to my PMI removal request. 

I had an ongoing PMI removal process APPROVED by XXXX XXXX XXXX, under final review when NewRez purchased the servicing of my loan. This process too 20+ phone calls in total, due to the following. 

They repeatedly refused to acknowledge the existence of the XXXX, and kept sending me new BPO request letters, as if the original valid BPO was lost during the move. 

Even after paying the exact amount XXXX provided to me to pay for PMI removal ( lump sum oXXXX XXXX  ) and getting a valid BPO, they refused to acknowledge it and remove the PMI from my mortgage. 

Additionally, NewRez has no message portal where users can view their sent and received messages, and their mortgage servicing department can't even see the messages you sent! This leads to messages being sent into the void, with NewRez servicing constantly gaslighting users about what messages they did or didn't send and what was uploaded."
"Credit reporting, repair, or other","address wrong XXXX XXXX XXXX XXXX XXXX, TX XXXX SINGLE FAMILY XXXX XXXX XXXX XXXX XXXX, TX XXXX APARTMENT COMPLEX XXXX XXXX XXXX XXXX XXXX, TX XXXX MULTIFAMILY XXXX XXXX XXXX XXXX XXXX, TX XXXX MULTIFAMILY XXXX XXXX XXXX XXXX XXXX, TX XXXX APARTMENT COMPLEX XXXX XXXX XXXX XXXX, TX XXXX SINGLE FAMILY XXXX XXXX XXXX XXXX XXXX, TX XXXX SINGLE FAMILY XXXX XXXX XXXX XXXX, TX XXXX MULTIFAMILY XXXX XXXX XXXX XXXXXXXX XXXX XXXX, TX XXXX MULTIFAMILY XXXX XXXX XXXX XXXX XXXX XXXX, TX XXXX SINGLE FAMILY XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXX APARTMENT COMPLEX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX APARTMENT COMPLEX XXXX XXXX   XXXX XXXX XXXX, TX XXXX SINGLE FAMILY XXXX XXXX XXXX XXXX XXXX, TX XXXX MULTIFAMILY XXXX XXXX  XXXX XXXX XXXX XXXX XXXX, TX XXXX APARTMENT COMPLEX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, TX XXXX APARTMENT COMPLEX none are my address look at the ftc that was filed SSNs show tooltip button Only variations displayed. Select as many as apply XXXX XXXX none of the social ss is XXXX last 4 XXXX XXXX/XXXX  XXXX potentially negative icon Potentially Negative StatusClosed. {$610.00} written off. 
Account TypeCredit card Balance {$0.00} Date OpenedXX/XX/XXXX Dispute XXXX XXXX/XXXX XXXX XXXX potentially negative icon Potentially Negative StatusPaid in settlement. {$1000.00} written off. 
Account TypeCredit card Balance- Date OpenedXX/XX/XXXX Dispute XXXX/XXXX XXXX potentially negative icon Potentially Negative StatusClosed. {$780.00} written off. 
Account TypeCredit card Balance {$0.00} Date OpenedXX/XX/XXXXDispute XXXX potentially negative icon Potentially Negative StatusCollection account. {$2200.00} past due as of XX/XX/XXXX. 
Account TypeCollection Balance {$2200.00} Date OpenedXX/XX/XXXX Details under dispute icon Currently Under Dispute XXXX XXXX XXXX XXXX XXXX potentially negative icon Potentially Negative StatusPaid, Closed. 
Account TypeCollection Balance- Date OpenedXX/XX/XXXX Details under dispute icon Currently Under Dispute Revolving Accountsshow tooltip button XXXX XXXX/XXXX   XXXX potentially negative icon Potentially Negative StatusClosed. {$610.00} written off. 
Account TypeCredit card Balance {$0.00} Date OpenedXX/XX/XXXX Dispute XXXX XXXX/XXXX XXXX XXXX potentially negative icon Potentially Negative StatusPaid in settlement. {$1000.00} written off. 
Account TypeCredit card Balance- Date OpenedXX/XX/XXXX Dispute XXXX/XXXX XXXX potentially negative icon Potentially Negative StatusClosed. {$780.00} written off. 
Account TypeCredit card Balance {$0.00} Date OpenedXX/XX/XXXXXXXX potentially negative icon Potentially Negative StatusAccount charged off. {$170.00} written off. {$170.00} past due as of XX/XX/XXXX. 
Account TypeSecured Loan Balance {$170.00} Date OpenedXX/XX/XXXX Dispute XXXX XXXX XXXX XXXX potentially negative icon Potentially Negative StatusAccount charged off. {$610.00} written off. {$510.00} past due as of XX/XX/XXXX. 
Account TypeSecured Loan Balance {$510.00} Date OpenedXX/XX/XXXX Dispute XXXX XXXX XXXX XXXX potentially negative icon Potentially Negative StatusAccount charged off. {$210.00} written off. {$210.00} past due as of XX/XX/XXXX. 
Account TypeSecured Loan Balance {$210.00} Date OpenedXX/XX/XXXX Dispute XXXX XXXX XXXX XXXX potentially negative icon Potentially Negative StatusPaid, Closed. {$2600.00} written off. 
Account TypeAuto Loan Balance- Date OpenedXX/XX/XXXX Dispute XX/XX/XXXX XXXX XXXX potentially negative icon Potentially Negative StatusCollection account. {$450.00} past due as of XX/XX/XXXX. 
Account TypeDebt Buyer Balance {$450.00} Date OpenedXX/XX/XXXXDispute XXXX XXXX   XXXX XXXX potentially negative icon Potentially Negative StatusOpen. 
Account TypeAuto Loan Balance {$8100.00} Date OpenedXX/XX/XXXX Dispute ftc sent 30 days"
Mortgage,"I am filing this complaint against Shellpoint Mortgage Servicing for unfair and deceptive practices in handling my mortgage loan modification and foreclosure process, in violation of RESPA ( 12 U.S.C. 2605 ), the Homeowner Bill of Rights ( HBOR, Cal. Civ. Code 2920 et seq. ), and federal servicing rules ( 12 C.F.R. 1024.41 ). These actions have caused me severe distress, prevented me from curing my arrears, and put my home of over 15 years at risk of wrongful foreclosure on XX/XX/XXXX. 
Timeline of Events : XX/XX/XXXXXXXX XXXX XXXX  : I paid {$160000.00} via XXXX XXXX XXXX to cure arrears, but Shellpoint continued foreclosure without crediting it properly. 
Ongoing since XXXX : I've sent 30+ certified debt validation requests ( latest XX/XX/XXXXXXXX  ) under FDCPA and XXXX XXXX XXXX blocking my ability to refinance/sell ( property appraised at $ XXXX with equity ). Name errors persist ( using "" XXXX '' despite XXXX change notifications ). 
XX/XX/XXXXXXXX  : Sent cease-and-desist demanding validation and sale haltignored. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX ) emailed that my mod denial letter "" isn't ready yet '' and would be mailed ( attached ). But on a call XX/XX/XXXX, she rudely claimed I was already denied, contradicting a letter I received stating my "" full package '' is under active review ( attached ). This is dual-tracking : advancing foreclosure while reviewing a complete application. 
XX/XX/XXXXXXXX  : Shellpoint verbally confirmed to me they placed the XX/XX/XXXX sale "" on hold. '' XX/XX/XXXX : XXXX XXXX XXXX  ( trustee ) emailed confirming the file is "" currently on hold as per Shellpoint 's instructions, '' but postponement will only happen "" closer to the sale date '' once formal instructions arrive ( attached email chain ). Their foreclosure attorney left a voicemail and sent email verifying the hold in writing. 
XX/XX/XXXXXXXX  : Followed up with XXXX XXXX XXXX XXXXXXXX replied they'll "" immediately postpone '' once Shellpoint instructs, but no update yet ( attached ). Despite this, public records still show the sale as active, creating confusion and panic. Shellpoint 's XXXX XXXX previously ( XXXX  ) gave "" incorrect guidance '' to ignore the NOD, leading to a denied mod after months of reviewadmitted internally as needing "" coaching '' ( prior complaint evidence ). 

Shellpoint 's inconsistent communication ( hold confirmed but not formalized ; mod "" under review '' vs. "" denied '' ) violates RESPA 's requirement for timely, accurate responses ( 12 C.F.R. 1024.36 ) and HBOR 's ban on dual-tracking ( Cal. Civ. Code 2924.6 ). Their rude, unhelpful XXXX ( XXXX ) fails the single point of contact rule ( 12 C.F.R. 1024.41 ). This isn't isolatedit 's a pattern of deception, as in my prior CFPB complaint. 
Impact on Me : I'm a homeowner in XXXX, CA, fighting to save my family 's home amid health/financial hardships. These delays have blocked refinancing/sale options, spiked my stress ( sleepless nights, XXXX  ), and cost thousands in legal fees. With $ XXXX equity, this feels like manipulation to force foreclosure for profit. If the sale proceeds, I'll lose everythingI 've filed suit in XXXX XXXX XXXX ( attached draft ) for HBOR violations, but need CFPB intervention now."
Debt collection,"This is the XXXX inquire I'm doing against MC Calla / MRLP. 
The 2 previous Complaints XXXX and XXXX. 
Because this Company and its owners are LYING and MAKE FALSE STAMENTS TO THE MATERIAL OF FACT To the Federal Agency CFPB. In regards this mortgage Account. 
They know what they did in the XXXX XXXX XXXX was illegal in not representing a legal Truthful Investor/Beneficiary/Creditor upon a due Diligence Research done on my mortgage account. 
I will on my own File a Criminal report on the Owners of this Company, if the CFPB merits this investigation I will provide Truthful Legal Documentation in regards my Mortgage Account. 
I'm enclosing Documents from XXXX XXXX admitting they were no longer the Servicer on this Deed of Trust and all the XXXXinancial Interest got Transferred to XXXX XXXX XXXX, Including the Deed of Trust, XXXX XXXX XXXX is the new owner/Beneficiary/Creditor/Investor and XXXX XXXX is not longer the Owner of this Deed of Trust from XXXX according with documentation and understanding I'm providing at this time. 
They even mentioned section 24 of my deed of Trust. As I read and understand : YOU WERE NOT APPOINTED BY THE LENDER ; YOU WERE APPOINTED BY THE SERVICER in XXXX  This company and their Owners don't care, neither respect the Law The worst is when there are Attorneys are the ones Colluding with this Fraud, manipulating the LAW to sound like they are not doing nothing wrong. 

since the owners are aware of my dispute. Anyone that comes representing this Company on any record Public Proceeding will be subject to criminal prosecution including civil liability for making False Statements in regards this mortgage account."
"Credit reporting, repair, or other","Experian have been reporting a debt collection account, ( XXXX XXXX XXXX ) as open since XXXX XXXX. This account has been closed since XX/XX/2022 written off by the original creditor. I have sent multiple dispute letters on XXXX requesting to remove the incorrect account not being in compliance with the FCRA. They have allowed this debt collection to remain causing adverse action and affecting my ability to obtain financing. This has caused me financial hardship."
Debt collection,"I sent these companies validation. Let us ask her down. 

I dispute your claim and I am requesting validation from you pursuant to the Fair Debt Collection Practices Act, 15 USC 1692g Sec. 809 ( 8 ) ( FDCPA ). 
Provide breakdown of fees including how you calculated what you claim I owe. 
Provide a copy of my signature on a contract or document that holds me responsible for this alleged debt. 
Cease any credit bureau reporting until debt has been validated by me as required under the FCRA. 
Send me proof that you are licensed to collect debt in the my state. 
Send this information to my address listed above and accept this letter-sent as my formal debt validation request, which I am allowed under the FDCPA. 
I will await your reply with above requested proof. Upon receiving it, I will correspond back with you. 

XXXX XXXX XXXX XXXX Opened XX/XX/XXXX Balance {$1100.00} XXXX XXXX  Opened XX/XX/XXXX Balance {$2100.00} XXXX XXXX XXXX Opened XX/XX/XXXX Balance {$9200.00}"
"Credit reporting, repair, or other","In accordance with the Fair Credit Reporting Act XXXX Account # XXXX has violated my rights. 15 U.S.C 1681 Section 602 A. States I have the right to privacy. 15 U.S.C 1681 Section 604 A Section 2 : it also states a consumer reporting agency can not furnish a account without my written instructions. 

XXXX XXXX XXXX Acct # XXXXXXXX XXXX XXXXXXXX XXXX Acct # XXXXXXXX XXXX XXXXXXXX XXXX XXXX Acct # XXXX XXXX Acct # XXXXXXXX XXXX XXXX Acct # XXXX"
"Credit reporting, repair, or other","This is my NUMEROUS request that I have been a victim of identity theft and that no one seems to care, that I want to dispute specific records in my credit file that do not belong to me, or that I have signed any agreement. The items I'm challenging have nothing to do with any transactions I've done or authorized to gain products, services, or money. Please remove the following XXXX XXXX XXXX XXXX  Balance {$460.00} ; XXXX XXXX XXXX ( Original creditor : XXXX XXXX XXXX ) XXXX Balance {$400.00} ; XXXX XXXX XXXX ( Original Creditor Name : XXXX XXXX XXXX XXXX XXXX XXXX XXXX  Balance {$1600.00} ; Bankruptcy XXXX XXXXXXXX Filed on XX/XX/XXXX Reference number : XXXX ; XXXX  XXXX : Bankruptcy Date Filed XXXX. 
XXXX, XXXX Reference Number XXXX ; XXXX XXXX Bankruptcy : Bankruptcy Date Filed XXXX. XXXX, XXXX Reference Number XXXX ; XXXX XXXX XXXX ; XXXX XXXX XXXX XXXX XXXX XXXX, VA XXXX ; XXXX XXXX XXXX XXXX, VA XXXX ; XXXX XXXX XXXX XXXX, VA XXXX XXXX XXXX XXXX XXXX  XXXX, VA XXXX ; XXXX XXXX XXXX XXXX, VA XXXX XXXX XXXX XXXX XXXX Inquired on XX/XX/XXXX ;"
Mortgage,Payment owed amount is wrong and Is making my credit drop like crazy
Debt collection,"I was contacted by Key 2 Recovery about an unpaid dept from XXXXXXXX XXXX. I have never attended in person or online schooling from them. I graduated college in XXXX and have been in the same field of work for XXXX years. I explained this to them. 

Reference XXXX XXXX"
Debt collection,"I contacted this company called AllianceOne to attempt to settle my debt that I was unaware of until I pulled my credit for a potential employer. I now regret not getting the name of the people I spoke with in regards to this debt. When I first contacted the company they told me they had no knowledge of my debt and put me on hold to search there database. After a few minutes of being on hold they came to the line to tell me I had a {$1200.00} debt and that if I pay them that day, they could drop it to {$800.00}. I told them I would prefer they send me this in writing via mail before I make such a big payment to a company I 've never received anything from or heard of. The male I spoke to, stated I would receive something in the mail within the next few days. I waited a few weeks and never received anything, so I called the company back, to be told I would now have to pay {$900.00} to settle the date. I explained to the young lady that I had called recently and they was suppose to send me something in the mail, but I never got anything. So she said she would send me something and I can call them back once I receive the letter to start making payments. Once again, I never received anything, at this point I am fed up, so I call the original company that I owe which is XXXX, they apologized for the inconvenience but said I would have to go through this company to pay the debt, so they transferred me back to AllianceOne. This time, I asked to speak to a supervisor. When the supervisor got on the phone, she never asked me what I was calling for, she just automatically started to speak saying I NOW owe a XXXX $ to settle my debt. She said that every time I call back they up the price. I explained to her that I have called numerous times in the attempt to receive something in writing from their company and that I would not make such a big payment over the phone to a company that I have no knowledge of. She began to become very rude, saying that their company does not work like that and they would not be sending me anything and that I would have to make a payment today or the debt would remain on my credit. I told her I was never told that, the company I worked with previously sent me info with no problem so what makes their company any different. I then asked to speak to someone above her, she nastily said I would have to call back because the person above her is n't in."
"Credit reporting, repair, or other",This is inaccurate. I was never late paying my debt. Correct this wrong information.
"Credit reporting, repair, or other",I have had someone to use my personal information to attempt to open accounts in my name without my knowledge.
Mortgage,"I am filing this complaint against Shellpoint Mortgage Servicing for multiple serious servicing errors related to my mortgage loan # XXXX, secured by my property at XXXX XXXX XXXX XXXX XXXX, XXXXXXXX XXXX XXXXXXXX. These issues include a potentially invalid loan transfer that breaks the chain of title, an unauthorized interest rate increase, non-responsiveness from my assigned Single Point of Contact ( SPOC ), and an improper non-judicial foreclosure sale scheduled for XX/XX/XXXX. I believe these violations contravene the Real Estate Settlement Procedures Act ( RESPA ), Regulation X ( including 12 CFR 1024.40 ), and California 's Homeowner Bill of Rights ( HBOR, including Civil Code 2924.11 ). Given the imminent foreclosure datejust weeks awayI urgently request CFPB intervention to prevent irreversible harm, such as the loss of my home. 
My loan originated on XX/XX/XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  ) for {>= $1,000,000}. It was modified effective XX/XX/XXXX, via a Modification Agreement recorded in XXXX XXXX, California ( Instrument No. XXXX ). This modification was intended to be securitized into a trust in XXXX. However, I recently discovered the loan was not transferred into the trust until XXXX years later and likely well beyond the XXXX and XXXX XXXX ( XXXX ) cutoff date. This delay may render the assignment void under New York trust law ( which commonly governs these XXXX ), thereby breaking the chain of title and calling into question Shellpoint 's standing to service or foreclose on the loan. California courts have consistently upheld borrowers ' rights to challenge such void assignments, as established in landmark cases like XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX 
The loan was modified by XXXX XXXX XXXX with a 2 % interest rate to stabilize my payments and prevent delinquency. Without my consent, proper notice, or any justification, Shellpoint, as the current servicer, unilaterally raised the rate to 3.5 %, leading to higher monthly payments, accumulated arrears, and potential overcharges. This increase may be entirely invalid due to the flawed XXXX transfer, which could void Shellpoint 's authority to make any changes, and it appears to breach the original modification agreement. Shellpoint has a documented history of mishandling loan modifications and rate adjustments, as evidenced by numerous CFPB complaints and a XXXX CFPB settlement requiring {$3.00} million in principal reductions for similar issues involving improper rate adjustments and servicing errors. The unauthorized rate hike has exacerbated my financial hardship, inflated my arrears, and resulted in overpayments for which I am owed a full refund, including interest on those amounts. 
Additionally, Shellpoint assigned me XXXX XXXX as a XXXX under XXXX and Regulation X to facilitate discussions on loss mitigation options. However, XXXX XXXX has been consistently non-responsive and hostile in prior interactions, as evidenced by the attached email chain from XX/XX/XXXX, where she repeatedly directed me to submit disputes in writing without addressing my concerns and stated that the loan was not assigned to a XXXXCcontradicting Shellpoint 's obligations. On XX/XX/XXXX, at XXXX XXXX XXXX  I emailed XXXX XXXX requesting immediate assistance with the pending foreclosure sale. I also emailed the Loss Mitigation Department to confirm her status as my XXXX. As of today, XX/XX/XXXX, I have received no response whatsoever from either, in clear violation of requirements for an accessible, knowledgeable, and responsive XXXX This non-responsiveness and apparent hostility have severely hindered my ability to explore viable alternatives to foreclosure, such as a new loan modification, forbearance, or repayment plan, and demonstrate a pattern of poor service that makes continued assignment to XXXX XXXX untenable. 
Despite these unresolved servicing errors and my ongoing attempts to engage in loss mitigation, Shellpoint has proceeded with scheduling a non-judicial foreclosure sale for XX/XX/XXXX. This action is wrongful and premature given the chain-of-title defects, interest rate errors, lack of XXXX communication, and potential invalidity of XXXX servicing actions. Under XXXX, the sale must be postponed if a complete loss mitigation application is under review or if servicing errors remain unaddressed. Furthermore, on XX/XX/XXXX, I sent a Notice of Error/Qualified Written Request ( QWR ) via certified mail, demanding corrections, documentation, and a response within the statutorily required timelinesyet I have received no acknowledgment or substantive reply. Shellpoint 's records currently indicate that to bring my loan current, I would need to pay approximately {$180000.00} in arrears, an amount that is artificially inflated by the unauthorized rate increase, related fees, and unapplied payments stemming from these errors. 
These cumulative violations have caused significant stress, emotional distress, potential overpayments, credit harm, lost equity and opportunity costs, and the imminent threat of losing my home. Shellpoint 's practices align with widespread consumer complaints about deceptive foreclosures, rate mishandling, poor customer service, and systemic failures in complying with federal and state regulations. I request immediate CFPB investigation and enforcement to halt these unfair practices and provide relief."
Debt collection,"Subject : Complaint Regarding Request for Fair Settlement and Resolution To Whom It May Concern, I am writing to formally address the ongoing issues I have experienced while attempting to resolve Case. Since my initial contact, I have been transparent about my financial hardship due to undergoing XXXX treatment. Despite these circumstances, I have been met with inflexibility, intimidation, and what I believe to be disrespectful treatment from your representatives. 

Over the course of several communications, I have consistently expressed my willingness to settle my account. Most recently, on XX/XX/year>, I again reached out with the intention of resolving both associated accounts through a lump sum payment, provided that the additional 30 % that was added to the original debt could be removed as part of a mutual agreement. 

During this conversation, the representative told me they would accept the payment and later send a letter indicating full payment had been received. However, I was also informed, rather abruptly and without empathy, that they could not guarantee that any existing judgment would be addressed or reversedeven after payment. The tone and demeanor of the representative were unprofessional and dismissive, despite my efforts to settle the matter in good faith."
Debt collection,"I am disputing an alleged XXXX XXXX Bank credit card debt that XXXX XXXX XXXX claims to own. I previously disputed this debt with the credit bureaus. It was deleted from one bureau but remains on the others as verified. 

In or around XX/XX/year>, I filed a CFPB complaint, but XXXX still verified the account as accurate even though they have since sold or transferred the alleged debt. 

On XX/XX/year>, I received a text message from a company called XXXX XXXX regarding an alleged debt. I called to clarify and recorded the call. During the call, the agent stated that the account was from XXXXXXXX XXXX  XXXX for a XXXX XXXX Bank credit card. When I stated I did not recognize the debt and requested validation, the agent hung up on me mid-conversation. 

This is a violation of the FDCPA, which requires debt validation upon request. Further, XXXX continues to report this debt on my credit file even though they have sold or transferred it, which is misleading and inaccurate under the FCRA. 

I am requesting that XXXXXXXX XXXX XXXXXXXX immediately delete this tradeline from all credit reporting agencies and cease collection activities, as they no longer own this debt and have failed to properly validate it."
Debt collection,"I was contacted in XXXX 2019 to pay {$220.00} on a {$300.00} credit limit because the card had been closed. 

I paid the amount and it was still sent to collection as a charge off in XX/XX/2019. 

I have contacted Synchorony Bank and the collection agency and it has not been updated"
"Credit reporting, repair, or other","My name is XXXX XXXX this complaint is not made in error neither is it being made by a third party. I declare under penalty of perjury ( under the laws of the United States, if executed outside of the United States ) that the foregoing is true and correct to the best of my knowledge. Further, I certify that I am permitted by FEDERAL and STATE LAW to file this dispute. I also understand that knowing and willful misstatements or omissions of material facts constitutes a FEDERAL CRIMINAL VIOLATION punishable under 18 U.S.C. 1001. Additionally, these misstatements are punishable as perjury under 18 U.S.C. 1621. The items found within my credit report that I listed on the following pages are not related to any transaction that I made. I am alleging that a person or company- without my authorization- used my personal identifying information to apply for goods, services, or money ; and, was successful in creating some accounts. All is being investigated by the FTC."
"Credit reporting, repair, or other","XXXX XXXXn XXXX  TransUnion XXXX  All 3 Credit Reporting agencies refuse to release any & full credit reports to XXXX XXXX XXXX in her requests by her name, DOB, SSN. All 3 Credit Reporting agencies will only provide to XXXX XXXX XXXX ; by her current address ; nothing else ; a strictly limited information. Infact all 3 credit reporting agencies ; contrary to federal laws ; inform Ms. XXXX they only do data release related of Ms. XXXX 's current and given address ; not by her name, DOB, SSN."
